Crustal model                       model for south Aegean provide by Fountoylakis
number of layers 
   14
Parameters of the layers
depth of layer top(km)   Vp(km/s)    Vs(km/s)    Rho(g/cm**3)    Qp     Qs
    0.000                3.118       1.574        2.312         300    150
    0.200                3.182       1.621        2.324         300    150
    0.400                3.369       1.759        2.357         300    150
    0.600                3.656       1.966        2.343         300    150
    1.000                4.279       2.399        2.432         300    150
    1.500                4.925       2.824        2.523         300    150
    2.000                5.277       3.044        2.579         300    150
    2.500                5.495       3.177        2.617         300    150
    3.000                5.668       3.280        2.649         300    150
    4.000                5.861       3.393        2.688         300    150
    9.000                6.000       3.472        2.717         300    150
   14.000                6.200       3.585        2.761         300    150
   24.000                6.600       3.803        2.859         300    150
   32.000                7.700       4.365        3.187        1000   1000
*************************************************************************
