ANKY	35.86704	23.30117	143	AntikythiraIsland	PS6-SC	CMG-3ESPC60	2008-10-21	2050-01-01
APE	37.07274	25.52301	608	ApeiranthosNaxos	PS6-SC	STS-2		2008-04-29	2050-01-01
ARG	36.21356	28.12122	148	ArchangelosRhodes	DR24-SC	Le3D20		1997-10-14	2050-01-01
ATH	37.97384	23.71767	93	Athens			DR24-SC	STS-2		2003-11-26	2050-01-01
EVR	38.91657	21.81050	1037	KarpenisiEvritania	DR24-SC	CMG-3ESPC60	2008-04-23	2050-01-01
GVD	34.8392		24.0873		180	GavdosIsland		PS6-SC	STS-2		2003-09-12	2050-01-01
IACM	35.3058		25.0709		45	HeraklioCrete		PS6-SC	STS-2 		2009-11-30	2050-01-01
IDI	35.2880		24.890		750	AnogeiaCrete		Qx80-SC	STS-2H		2003-04-08	2050-01-01
IMMV	35.46060	23.98110	230	ChaniaCrete		PS6-SC	STS-2		2010-07-16	2050-01-01
ITM	37.17872	21.92522	423	IthomiMessinia		DR24-SC	STS-2		2010-02-23	2050-01-01
JAN	39.65616	20.84874	526	Janena			DR24-SC	CMG-3ESPC60	2007-10-15	2050-01-01
KARP	35.54710	27.16106	524	KarpathosIsland		PS6-SC	STS-2 		2009-11-24	2050-01-01
KEK	39.71270	19.79623	227	KerkiraIsland		DR24-SC	STS-2		2007-07-14	2050-01-01
KLV	38.04367	22.15042	758	KalavrytaAchaia		PS6-SC	STS-2		2009-04-08	2050-01-01
KSL	36.1503		29.5856		71	KastelorizoIsland	PS6-SC	CMG-3ESPC60	2010-10-07	2050-01-01
KYMI	38.6331		24.1001		259	Kymi			PS6-SC	CMG-3ESPC60	2014-04-01	2050-01-01
KZN	40.30331	21.78209	791	Kozani			DR24-SC	STS-2		2008-03-03	2050-01-01
KTHA	36.2566		23.0621		360	KythiraIsland		PS6-SC	STS-2		2013-06-18	2050-01-01
LAST	35.1611		25.4786		870	LaisithiCrete		PS6-SC	CMG-40T30	2013-12-13	2050-01-01
LIA	39.89725	25.18055	67	LimnosIsland		DR24-SC	CMG-3ESPC60	2009-05-22	2050-01-01
LKR	38.64956	22.99886	185	AtalantiLokrida		DR24-SC	CMG40T30	2009-06-16	2050-01-01
MHLA	36.74501	24.42190	200	PlakaMilosIsland	PS6-SC	CMG-3ESPC	2011-09-14	2050-01-01
MHLO	36.68984	24.40171	175	MilosIsland		PS6-SC	Le3D20		2010-06-04	2050-01-01
NEO	39.30567	23.22189	510	NeochoriVolos		DR24-SC	KS2000M		2010-11-13	2050-01-01
NISR	36.61060	27.13090	48	NisyrosIsland		PS6-SC	CMG-40T30	2010-06-15	2050-01-01
NPS	35.26134	25.61037	288	NeapolisCrete		DR24-SC	KS2000M		2011-07-20	2050-01-01
NVR	41.34846	23.86517	627	KatoNevrokopi		DR24-SC	CMG-3ESPC60	2009-06-29	2050-01-01
PENT	40.19585	21.13831	1092	PentalofosKozanis	Rftk130	CMG-40T30	2010-10-22	2050-01-01
PLG	40.373280	23.444481	590	PoligirosChalkidiki	PS6-SC	KS2000M		2013-10-16	2050-01-01
PRK	39.24565	26.26499	130	AgiaParaskeviLesvos	EDR-209	STS-2		2012-12-29	2050-01-01
PTL	38.04730	23.86380	500	PenteliAttiki		DR24-SC	KS2000		2010-09-10	2050-01-01
RDO	41.14503	25.53553	116	GratiniRodopi		DR24-SC	CMG-3ESPC60	2008-01-30	2050-01-01
RLS	38.05586	21.46475	97	RiolosKatoAchaia	DR24-SC	Le3D20		2001-07-23	2050-01-01
SANT	36.371		25.459		540	SantoriniIsland		PS6-SC	STS-2		2007-03-21	2050-01-01
SIVA	35.0178		24.8120		95	SivasCrete		PS6-SC	CMG-3ESPC60	2010-11-23	2050-01-01
SKY	38.8831		24.5482		268	SkyrosIsland		PS6-SC	KS2000		2011-07-20	2050-01-01
SMG	37.70426	26.83772	348	SamosIsland		DR24-SC	Trillium120P	2011-11-03	2050-01-01
SMTH	40.47094	25.53045	365	SamothrakiIsland	PS6-SC	CMG-3ESPC60	2009-04-08	2050-01-01
THL	39.56468	22.0144		86	KlokotosThessalia	DR24-SC	STS-2		2006-11-28	2050-01-01
VAM	35.40700	24.1997		225	VamosCrete		DR24-SC	KS2000M		2012-03-26	2050-01-01
VLI	36.71803	22.94686	220	VeliesLakonia		Rftk130	CMG-3ESPC60	2013-12-29	2050-01-01
VLMS	37.8766		20.6628		433	VolimesZakynthos	CMGDM24	CMG-3ESPC120	2014-01-18	2050-01-01
VLS	38.17683	20.5886		402	ValsamataKefalonia	DR24-SC	Trillium120P	2011-11-29	2050-01-01
VLY	37.85240	23.7942		256	VoulaAttiki		DR24-SC	Trillium120P	2012-12-14	2050-01-01
ZKR	35.1147		26.2170		270	ZakrosCrete		PS6-SC	STS-2		2011-07-19	2050-01-01
							
