  .000000E+00  .124692E-13 -.136066E-11 -.150134E-11
  .300000E-01  .121909E-13 -.133029E-11 -.155769E-11
  .600000E-01  .119028E-13 -.129885E-11 -.161320E-11
  .900000E-01  .116049E-13 -.126635E-11 -.166782E-11
  .120000E+00  .112976E-13 -.123281E-11 -.172151E-11
  .150000E+00  .109810E-13 -.119827E-11 -.177423E-11
  .180000E+00  .106554E-13 -.116274E-11 -.182594E-11
  .210000E+00  .103210E-13 -.112625E-11 -.187659E-11
  .240000E+00  .997803E-14 -.108882E-11 -.192616E-11
  .270000E+00  .962670E-14 -.105048E-11 -.197459E-11
  .300000E+00  .926728E-14 -.101126E-11 -.202185E-11
  .330000E+00  .890004E-14 -.971186E-12 -.206791E-11
  .360000E+00  .852524E-14 -.930288E-12 -.211272E-11
  .390000E+00  .814313E-14 -.888592E-12 -.215625E-11
  .420000E+00  .775400E-14 -.846130E-12 -.219846E-11
  .450000E+00  .735814E-14 -.802932E-12 -.223932E-11
  .480000E+00  .695581E-14 -.759029E-12 -.227880E-11
  .510000E+00  .654734E-14 -.714456E-12 -.231686E-11
  .540000E+00  .613298E-14 -.669241E-12 -.235348E-11
  .570000E+00  .571307E-14 -.623419E-12 -.238861E-11
  .600000E+00  .528792E-14 -.577025E-12 -.242223E-11
  .630000E+00  .485782E-14 -.530092E-12 -.245431E-11
  .660000E+00  .442308E-14 -.482654E-12 -.248483E-11
  .690000E+00  .398405E-14 -.434746E-12 -.251375E-11
  .720000E+00  .354105E-14 -.386407E-12 -.254105E-11
  .750000E+00  .309441E-14 -.337667E-12 -.256670E-11
  .780000E+00  .264445E-14 -.288567E-12 -.259068E-11
  .810000E+00  .219151E-14 -.239141E-12 -.261297E-11
  .840000E+00  .173594E-14 -.189429E-12 -.263355E-11
  .870000E+00  .127807E-14 -.139466E-12 -.265239E-11
  .900000E+00  .818258E-15 -.892897E-13 -.266947E-11
  .930000E+00  .356845E-15 -.389394E-13 -.268478E-11
  .960000E+00 -.105816E-15  .115468E-13 -.269830E-11
  .990000E+00 -.569376E-15  .621309E-13 -.271002E-11
  .102000E+01 -.103349E-14  .112776E-12 -.271991E-11
  .105000E+01 -.149779E-14  .163441E-12 -.272797E-11
  .108000E+01 -.196192E-14  .214087E-12 -.273418E-11
  .111000E+01 -.242551E-14  .264676E-12 -.273853E-11
  .114000E+01 -.288825E-14  .315169E-12 -.274101E-11
  .117000E+01 -.334973E-14  .365528E-12 -.274162E-11
  .120000E+01 -.380962E-14  .415712E-12 -.274035E-11
  .123000E+01 -.426754E-14  .465681E-12 -.273718E-11
  .126000E+01 -.472317E-14  .515399E-12 -.273212E-11
  .129000E+01 -.517612E-14  .564827E-12 -.272517E-11
  .132000E+01 -.562605E-14  .613923E-12 -.271631E-11
  .135000E+01 -.607258E-14  .662650E-12 -.270556E-11
  .138000E+01 -.651541E-14  .710971E-12 -.269291E-11
  .141000E+01 -.695414E-14  .758846E-12 -.267836E-11
  .144000E+01 -.738844E-14  .806238E-12 -.266191E-11
  .147000E+01 -.781795E-14  .853107E-12 -.264358E-11
  .150000E+01 -.824236E-14  .899418E-12 -.262337E-11
  .153000E+01 -.866129E-14  .945134E-12 -.260128E-11
  .156000E+01 -.907442E-14  .990216E-12 -.257732E-11
  .159000E+01 -.948141E-14  .103463E-11 -.255151E-11
  .162000E+01 -.988194E-14  .107833E-11 -.252386E-11
  .165000E+01 -.102757E-13  .112130E-11 -.249437E-11
  .168000E+01 -.106623E-13  .116349E-11 -.246306E-11
  .171000E+01 -.110415E-13  .120486E-11 -.242995E-11
  .174000E+01 -.114129E-13  .124539E-11 -.239506E-11
  .177000E+01 -.117763E-13  .128505E-11 -.235840E-11
  .180000E+01 -.121313E-13  .132379E-11 -.231999E-11
  .183000E+01 -.124776E-13  .136158E-11 -.227985E-11
  .186000E+01 -.128150E-13  .139840E-11 -.223801E-11
  .189000E+01 -.131432E-13  .143421E-11 -.219449E-11
  .192000E+01 -.134618E-13  .146898E-11 -.214930E-11
  .195000E+01 -.137707E-13  .150268E-11 -.210249E-11
  .198000E+01 -.140695E-13  .153528E-11 -.205407E-11
  .201000E+01 -.143579E-13  .156676E-11 -.200407E-11
  .204000E+01 -.146358E-13  .159708E-11 -.195253E-11
  .207000E+01 -.149029E-13  .162623E-11 -.189947E-11
  .210000E+01 -.151589E-13  .165416E-11 -.184492E-11
  .213000E+01 -.154036E-13  .168087E-11 -.178892E-11
  .216000E+01 -.156368E-13  .170631E-11 -.173150E-11
  .219000E+01 -.158583E-13  .173048E-11 -.167270E-11
  .222000E+01 -.160678E-13  .175335E-11 -.161255E-11
  .225000E+01 -.162652E-13  .177489E-11 -.155109E-11
  .228000E+01 -.164503E-13  .179509E-11 -.148836E-11
  .231000E+01 -.166229E-13  .181392E-11 -.142440E-11
  .234000E+01 -.167828E-13  .183137E-11 -.135925E-11
  .237000E+01 -.169299E-13  .184741E-11 -.129294E-11
  .240000E+01 -.170639E-13  .186204E-11 -.122553E-11
  .243000E+01 -.171849E-13  .187524E-11 -.115705E-11
  .246000E+01 -.172925E-13  .188699E-11 -.108755E-11
  .249000E+01 -.173868E-13  .189728E-11 -.101707E-11
  .252000E+01 -.174676E-13  .190609E-11 -.945670E-12
  .255000E+01 -.175347E-13  .191342E-11 -.873379E-12
  .258000E+01 -.175881E-13  .191925E-11 -.800252E-12
  .261000E+01 -.176278E-13  .192357E-11 -.726338E-12
  .264000E+01 -.176536E-13  .192639E-11 -.651684E-12
  .267000E+01 -.176654E-13  .192768E-11 -.576339E-12
  .270000E+01 -.176633E-13  .192744E-11 -.500354E-12
  .273000E+01 -.176471E-13  .192568E-11 -.423781E-12
  .276000E+01 -.176169E-13  .192238E-11 -.346671E-12
  .279000E+01 -.175726E-13  .191755E-11 -.269074E-12
  .282000E+01 -.175142E-13  .191117E-11 -.191045E-12
  .285000E+01 -.174417E-13  .190326E-11 -.112635E-12
  .288000E+01 -.173551E-13  .189382E-11 -.338980E-13
  .291000E+01 -.172545E-13  .188284E-11  .451113E-13
  .294000E+01 -.171398E-13  .187033E-11  .124340E-12
  .297000E+01 -.170112E-13  .185629E-11  .203731E-12
  .300000E+01 -.168687E-13  .184074E-11  .283233E-12
  .303000E+01 -.167123E-13  .182367E-11  .362788E-12
  .306000E+01 -.165421E-13  .180510E-11  .442344E-12
  .309000E+01 -.163582E-13  .178504E-11  .521840E-12
  .312000E+01 -.161608E-13  .176349E-11  .601224E-12
  .315000E+01 -.159498E-13  .174047E-11  .680441E-12
  .318000E+01 -.157255E-13  .171599E-11  .759434E-12
  .321000E+01 -.154880E-13  .169007E-11  .838144E-12
  .324000E+01 -.152373E-13  .166272E-11  .916519E-12
  .327000E+01 -.149738E-13  .163396E-11  .994502E-12
  .330000E+01 -.146974E-13  .160381E-11  .107204E-11
  .333000E+01 -.144085E-13  .157228E-11  .114907E-11
  .336000E+01 -.141072E-13  .153940E-11  .122554E-11
  .339000E+01 -.137936E-13  .150518E-11  .130139E-11
  .342000E+01 -.134681E-13  .146966E-11  .137658E-11
  .345000E+01 -.131307E-13  .143285E-11  .145104E-11
  .348000E+01 -.127818E-13  .139477E-11  .152472E-11
  .351000E+01 -.124216E-13  .135546E-11  .159756E-11
  .354000E+01 -.120503E-13  .131494E-11  .166952E-11
  .357000E+01 -.116681E-13  .127324E-11  .174053E-11
  .360000E+01 -.112754E-13  .123039E-11  .181055E-11
  .363000E+01 -.108724E-13  .118642E-11  .187952E-11
  .366000E+01 -.104594E-13  .114135E-11  .194740E-11
  .369000E+01 -.100367E-13  .109522E-11  .201412E-11
  .372000E+01 -.960462E-14  .104807E-11  .207964E-11
  .375000E+01 -.916341E-14  .999926E-12  .214391E-11
  .378000E+01 -.871342E-14  .950822E-12  .220687E-11
  .381000E+01 -.825500E-14  .900799E-12  .226849E-11
  .384000E+01 -.778846E-14  .849888E-12  .232871E-11
  .387000E+01 -.731414E-14  .798132E-12  .238748E-11
  .390000E+01 -.683241E-14  .745564E-12  .244476E-11
  .393000E+01 -.634363E-14  .692227E-12  .250050E-11
  .396000E+01 -.584817E-14  .638160E-12  .255466E-11
  .399000E+01 -.534638E-14  .583405E-12  .260719E-11
  .402000E+01 -.483864E-14  .528000E-12  .265806E-11
  .405000E+01 -.432537E-14  .471992E-12  .270721E-11
  .408000E+01 -.380694E-14  .415419E-12  .275461E-11
  .411000E+01 -.328375E-14  .358327E-12  .280022E-11
  .414000E+01 -.275620E-14  .300761E-12  .284400E-11
  .417000E+01 -.222471E-14  .242764E-12  .288592E-11
  .420000E+01 -.168971E-14  .184384E-12  .292593E-11
  .423000E+01 -.115160E-14  .125664E-12  .296400E-11
  .426000E+01 -.610794E-15  .666517E-13  .300009E-11
  .429000E+01 -.677533E-16  .739342E-14  .303419E-11
  .432000E+01  .477108E-15 -.520631E-13  .306624E-11
