  .000000E+00  .862338E-11  .516811E-11 -.336625E-11
  .300000E-01  .945925E-11  .566907E-11  .594414E-12
  .600000E-01  .102813E-10  .616173E-11  .451374E-11
  .900000E-01  .110892E-10  .664594E-11  .839030E-11
  .120000E+00  .118827E-10  .712149E-11  .122224E-10
  .150000E+00  .126615E-10  .758823E-11  .160088E-10
  .180000E+00  .134253E-10  .804597E-11  .197479E-10
  .210000E+00  .141738E-10  .849456E-11  .234384E-10
  .240000E+00  .149068E-10  .893383E-11  .270787E-10
  .270000E+00  .156239E-10  .936365E-11  .306675E-10
  .300000E+00  .163251E-10  .978384E-11  .342036E-10
  .330000E+00  .170099E-10  .101943E-10  .376856E-10
  .360000E+00  .176783E-10  .105949E-10  .411122E-10
  .390000E+00  .183299E-10  .109854E-10  .444822E-10
  .420000E+00  .189646E-10  .113658E-10  .477944E-10
  .450000E+00  .195822E-10  .117359E-10  .510477E-10
  .480000E+00  .201824E-10  .120956E-10  .542407E-10
  .510000E+00  .207652E-10  .124449E-10  .573725E-10
  .540000E+00  .213303E-10  .127835E-10  .604420E-10
  .570000E+00  .218775E-10  .131115E-10  .634481E-10
  .600000E+00  .224068E-10  .134287E-10  .663899E-10
  .630000E+00  .229179E-10  .137351E-10  .692664E-10
  .660000E+00  .234108E-10  .140305E-10  .720766E-10
  .690000E+00  .238854E-10  .143149E-10  .748199E-10
  .720000E+00  .243414E-10  .145882E-10  .774948E-10
  .750000E+00  .247789E-10  .148503E-10  .801011E-10
  .780000E+00  .251977E-10  .151013E-10  .826379E-10
  .810000E+00  .255977E-10  .153411E-10  .851043E-10
  .840000E+00  .259790E-10  .155696E-10  .874996E-10
  .870000E+00  .263413E-10  .157867E-10  .898234E-10
  .900000E+00  .266847E-10  .159925E-10  .920747E-10
  .930000E+00  .270092E-10  .161870E-10  .942533E-10
  .960000E+00  .273146E-10  .163700E-10  .963583E-10
  .990000E+00  .276011E-10  .165417E-10  .983894E-10
  .102000E+01  .278685E-10  .167020E-10  .100346E-09
  .105000E+01  .281169E-10  .168509E-10  .102228E-09
  .108000E+01  .283463E-10  .169883E-10  .104035E-09
  .111000E+01  .285567E-10  .171144E-10  .105766E-09
  .114000E+01  .287482E-10  .172292E-10  .107421E-09
  .117000E+01  .289207E-10  .173326E-10  .109000E-09
  .120000E+01  .290744E-10  .174247E-10  .110503E-09
  .123000E+01  .292093E-10  .175055E-10  .111929E-09
  .126000E+01  .293254E-10  .175752E-10  .113279E-09
  .129000E+01  .294229E-10  .176336E-10  .114551E-09
  .132000E+01  .295019E-10  .176809E-10  .115747E-09
  .135000E+01  .295624E-10  .177172E-10  .116867E-09
  .138000E+01  .296046E-10  .177424E-10  .117909E-09
  .141000E+01  .296285E-10  .177568E-10  .118874E-09
  .144000E+01  .296343E-10  .177603E-10  .119763E-09
