  .000000E+00  .815226E-12 -.596427E-12 -.602827E-12
  .300000E-01  .804523E-12 -.588597E-12 -.620619E-12
  .600000E-01  .793274E-12 -.580367E-12 -.637938E-12
  .900000E-01  .781487E-12 -.571744E-12 -.654771E-12
  .120000E+00  .769170E-12 -.562732E-12 -.671106E-12
  .150000E+00  .756332E-12 -.553340E-12 -.686932E-12
  .180000E+00  .742982E-12 -.543573E-12 -.702236E-12
  .210000E+00  .729130E-12 -.533438E-12 -.717008E-12
  .240000E+00  .714785E-12 -.522944E-12 -.731238E-12
  .270000E+00  .699959E-12 -.512096E-12 -.744915E-12
  .300000E+00  .684661E-12 -.500904E-12 -.758030E-12
  .330000E+00  .668903E-12 -.489376E-12 -.770572E-12
  .360000E+00  .652696E-12 -.477518E-12 -.782535E-12
  .390000E+00  .636052E-12 -.465342E-12 -.793908E-12
  .420000E+00  .618982E-12 -.452853E-12 -.804684E-12
  .450000E+00  .601500E-12 -.440063E-12 -.814855E-12
  .480000E+00  .583617E-12 -.426980E-12 -.824415E-12
  .510000E+00  .565347E-12 -.413613E-12 -.833356E-12
  .540000E+00  .546702E-12 -.399973E-12 -.841672E-12
  .570000E+00  .527697E-12 -.386068E-12 -.849358E-12
  .600000E+00  .508345E-12 -.371910E-12 -.856408E-12
  .630000E+00  .488659E-12 -.357508E-12 -.862818E-12
  .660000E+00  .468655E-12 -.342873E-12 -.868582E-12
  .690000E+00  .448346E-12 -.328015E-12 -.873699E-12
  .720000E+00  .427747E-12 -.312944E-12 -.878163E-12
  .750000E+00  .406873E-12 -.297672E-12 -.881972E-12
  .780000E+00  .385740E-12 -.282211E-12 -.885124E-12
  .810000E+00  .364361E-12 -.266570E-12 -.887617E-12
  .840000E+00  .342753E-12 -.250762E-12 -.889449E-12
  .870000E+00  .320932E-12 -.234797E-12 -.890620E-12
  .900000E+00  .298913E-12 -.218688E-12 -.891129E-12
  .930000E+00  .276711E-12 -.202445E-12 -.890976E-12
  .960000E+00  .254344E-12 -.186081E-12 -.890161E-12
  .990000E+00  .231827E-12 -.169607E-12 -.888687E-12
  .102000E+01  .209176E-12 -.153035E-12 -.886554E-12
  .105000E+01  .186408E-12 -.136378E-12 -.883764E-12
  .108000E+01  .163539E-12 -.119647E-12 -.880321E-12
  .111000E+01  .140586E-12 -.102854E-12 -.876226E-12
  .114000E+01  .117565E-12 -.860117E-13 -.871484E-12
  .117000E+01  .944932E-13 -.691321E-13 -.866098E-12
  .120000E+01  .713865E-13 -.522269E-13 -.860074E-12
  .123000E+01  .482622E-13 -.353089E-13 -.853415E-12
  .126000E+01  .251367E-13 -.183901E-13 -.846128E-12
  .129000E+01  .202670E-14 -.148259E-14 -.838217E-12
  .132000E+01 -.210510E-13  .154014E-13 -.829691E-12
  .135000E+01 -.440801E-13  .322496E-13 -.820555E-12
  .138000E+01 -.670436E-13  .490499E-13 -.810817E-12
  .141000E+01 -.899253E-13  .657903E-13 -.800485E-12
  .144000E+01 -.112709E-12  .824589E-13 -.789566E-12
  .147000E+01 -.135377E-12  .990430E-13 -.778070E-12
  .150000E+01 -.157914E-12  .115531E-12 -.766005E-12
  .153000E+01 -.180303E-12  .131912E-12 -.753381E-12
  .156000E+01 -.202529E-12  .148173E-12 -.740207E-12
  .159000E+01 -.224576E-12  .164302E-12 -.726495E-12
  .162000E+01 -.246427E-12  .180289E-12 -.712255E-12
  .165000E+01 -.268067E-12  .196121E-12 -.697498E-12
  .168000E+01 -.289480E-12  .211787E-12 -.682235E-12
  .171000E+01 -.310652E-12  .227276E-12 -.666478E-12
  .174000E+01 -.331566E-12  .242577E-12 -.650241E-12
  .177000E+01 -.352208E-12  .257679E-12 -.633534E-12
  .180000E+01 -.372562E-12  .272570E-12 -.616372E-12
  .183000E+01 -.392616E-12  .287242E-12 -.598767E-12
  .186000E+01 -.412353E-12  .301681E-12 -.580734E-12
